imdb_id,film_title,original_title,year,decade,runtime_minutes,genres,region,language,average_rating,num_votes,poster_url,synopsis,source_url
tt0283579,Sasirekha Parinayam,Sasirekha Parinayam,1936,1930s,,"Drama,Musical,Romance",IN,te,6.5,8,/static/placeholder_poster.svg,"Sasirekha Parinayam is a Telugu/Tollywood film released in 1936. IMDb lists its genres as Drama,Musical,Romance. It holds an IMDb rating of 6.5/10 based on 8 votes. This curated entry is part of the 1930s Tollywood cinema timeline.",https://www.imdb.com/title/tt0283579/
tt0255824,Balaji,Balaji,1939,1930s,171,,IN,te,7.3,7,/static/placeholder_poster.svg,Balaji is a Telugu/Tollywood film released in 1939. The film has a runtime of 171 minutes. It holds an IMDb rating of 7.3/10 based on 7 votes. This curated entry is part of the 1930s Tollywood cinema timeline.,https://www.imdb.com/title/tt0255824/
tt0261758,Jayapradha,Jayapradha,1939,1930s,190,,IN,te,,,/static/placeholder_poster.svg,Jayapradha is a Telugu/Tollywood film released in 1939. The film has a runtime of 190 minutes. This curated entry is part of the 1930s Tollywood cinema timeline.,https://www.imdb.com/title/tt0261758/
tt0255924,Dharmapatni,Dharmapatni,1941,1940s,170,Drama,IN,te,6.9,11,/static/placeholder_poster.svg,Dharmapatni is a Telugu/Tollywood film released in 1941. IMDb lists its genres as Drama. The film has a runtime of 170 minutes. It holds an IMDb rating of 6.9/10 based on 11 votes. This curated entry is part of the 1940s Tollywood cinema timeline.,https://www.imdb.com/title/tt0255924/
tt0259086,Vedavathi,Vedavathi,1941,1940s,,,IN,te,,,/static/placeholder_poster.svg,Vedavathi is a Telugu/Tollywood film released in 1941. This curated entry is part of the 1940s Tollywood cinema timeline.,https://www.imdb.com/title/tt0259086/
tt0259052,Thasippen,Thasippen,1942,1940s,,,IN,te,,,/static/placeholder_poster.svg,Thasippen is a Telugu/Tollywood film released in 1942. This curated entry is part of the 1940s Tollywood cinema timeline.,https://www.imdb.com/title/tt0259052/
tt0261963,Salivahanan,Salivahanan,1944,1940s,,,IN,te,,,/static/placeholder_poster.svg,Salivahanan is a Telugu/Tollywood film released in 1944. This curated entry is part of the 1940s Tollywood cinema timeline.,https://www.imdb.com/title/tt0261963/
tt0263833,Panduranga Mahatyam,Panduranga Mahatyam,1957,1950s,,"Drama,History,Musical",IN,te,8.0,76,/static/placeholder_poster.svg,"Panduranga Mahatyam is a Telugu/Tollywood film released in 1957. IMDb lists its genres as Drama,History,Musical. It holds an IMDb rating of 8.0/10 based on 76 votes. This curated entry is part of the 1950s Tollywood cinema timeline.",https://www.imdb.com/title/tt0263833/
tt0298122,Raju-Peda,Raju-Peda,1954,1950s,,Drama,IN,te,7.9,27,/static/placeholder_poster.svg,Raju-Peda is a Telugu/Tollywood film released in 1954. IMDb lists its genres as Drama. It holds an IMDb rating of 7.9/10 based on 27 votes. This curated entry is part of the 1950s Tollywood cinema timeline.,https://www.imdb.com/title/tt0298122/
tt0250714,School Master,School Master,1958,1950s,185,,IN,te,7.0,24,/static/placeholder_poster.svg,School Master is a Telugu/Tollywood film released in 1958. The film has a runtime of 185 minutes. It holds an IMDb rating of 7.0/10 based on 24 votes. This curated entry is part of the 1950s Tollywood cinema timeline.,https://www.imdb.com/title/tt0250714/
tt0234059,Kula Deivam,Kula Deivam,1956,1950s,137,,IN,te,4.6,8,/static/placeholder_poster.svg,Kula Deivam is a Telugu/Tollywood film released in 1956. The film has a runtime of 137 minutes. It holds an IMDb rating of 4.6/10 based on 8 votes. This curated entry is part of the 1950s Tollywood cinema timeline.,https://www.imdb.com/title/tt0234059/
tt1440212,Kaathavaraayan,Kaathavaraayan,1958,1950s,170,,IN,te,,,/static/placeholder_poster.svg,Kaathavaraayan is a Telugu/Tollywood film released in 1958. The film has a runtime of 170 minutes. This curated entry is part of the 1950s Tollywood cinema timeline.,https://www.imdb.com/title/tt1440212/
tt0234184,Mamiyar Mechia Marumagal,Mamiyar Mechia Marumagal,1958,1950s,,,IN,te,,,/static/placeholder_poster.svg,Mamiyar Mechia Marumagal is a Telugu/Tollywood film released in 1958. This curated entry is part of the 1950s Tollywood cinema timeline.,https://www.imdb.com/title/tt0234184/
tt0156666,Kalathur Kannamma,Kalathur Kannamma,1960,1960s,176,"Drama,Romance",IN,te,7.2,171,/static/placeholder_poster.svg,"Kalathur Kannamma is a Telugu/Tollywood film released in 1960. IMDb lists its genres as Drama,Romance. The film has a runtime of 176 minutes. It holds an IMDb rating of 7.2/10 based on 171 votes. This curated entry is part of the 1960s Tollywood cinema timeline.",https://www.imdb.com/title/tt0156666/
